蕭	萧
薩	萨
蔥	葱
蒕	蒀
蕆	蒇
蕢	蒉
蔣	蒋
蔞	蒌
醟	蒏
矇	蒙
濛	蒙
懞	蒙
藍	蓝
薊	蓟
蘺	蓠
蕷	蓣
鎣	蓥
驀	蓦
虆	蔂
衊	蔑
薔	蔷
蘞	蔹
藺	蔺
藹	蔼
薀	蕰
蘄	蕲
蘊	蕴
藪	薮
蘚	藓
蘊	藴
櫱	蘖
虜	虏
慮	虑
虛	虚
虯	虬
蟣	虮
蝨	虱
雖	虽
蝦	虾
蠆	虿
蝕	蚀
蟻	蚁
螞	蚂
蠁	蚃
蠔	蚝
蜆	蚬
蠱	蛊
蠣	蛎
蟶	蛏
蟄	蛰
蛺	蛱
蟯	蛲
螄	蛳
蠐	蛴
蛻	蜕
蝸	蜗
蠟	蜡
蠅	蝇
蟈	蝈
蟬	蝉
蠍	蝎
螻	蝼
蠑	蝾
螿	螀
蟎	螨
蠨	蟏
釁	衅
銜	衔
補	补
錶	表
襯	衬
袞	衮
襖	袄
嫋	袅
裊	袅
褘	袆
襪	袜
襲	袭
襏	袯
襠	裆
褌	裈
褳	裢
襝	裣
褲	裤
襉	裥
襇	裥
褸	褛
襤	褴
襴	襕
見	见
観	观
覎	觃
規	规
覓	觅
視	视
覘	觇
覧	览
覚	觉
覬	觊
覡	觋
覿	觌
覥	觍
覦	觎
覯	觏
覲	觐
覷	觑
觴	觞
觶	觯
誾	訚
讋	詟
謄	誊
訁	讠
計	计
訂	订
訃	讣
認	认
譏	讥
訐	讦
訌	讧
討	讨
譲	让
訕	讪
訖	讫
託	讬
訓	训
議	议
訊	讯
記	记
訒	讱
講	讲
諱	讳
謳	讴
詎	讵
訝	讶
訥	讷
許	许
訛	讹
論	论
訩	讻
訟	讼
諷	讽
設	设
訪	访
訣	诀
証	证
証	证
詁	诂
訶	诃
評	评
詛	诅
識	识
詗	诇
詐	诈
訴	诉
診	诊
詆	诋
謅	诌
詞	词
詘	诎
詔	诏
詖	诐
訳	译
詒	诒
誆	诓
誄	诔
試	试
詿	诖
詩	诗
詰	诘
詼	诙
誠	诚
誅	诛
詵	诜
話	话
誕	诞
詬	诟
詮	诠
詭	诡
詢	询
詣	诣
諍	诤
該	该
詳	详
詫	诧
諢	诨
詡	诩
譸	诪
誡	诫
誣	诬
語	语
誚	诮
誤	误
誥	诰
誘	诱
誨	诲
誑	诳
說	说
誦	诵
誒	诶
請	请
諸	诸
諏	诹
諾	诺
読	读
諑	诼
誹	诽
課	课
諉	诿
諛	谀
誰	谁
諗	谂
調	调
諂	谄
諒	谅
諄	谆
誶	谇
談	谈
讅	谉
誼	谊
謀	谋
諶	谌
諜	谍
謊	谎
諫	谏
諧	谐
謔	谑
謁	谒
謂	谓
諤	谔
諭	谕
諼	谖
讒	谗
諮	谘
諳	谙
諺	谚
諦	谛
謎	谜
諞	谝
諝	谞
謨	谟
讜	谠
謖	谡
謝	谢
謡	谣
謗	谤
諡	谥
謚	谥
謙	谦
謐	谧
謹	谨
謾	谩
謫	谪
譾	谫
謬	谬
譚	谭
譖	谮
譙	谯
讕	谰
譜	谱
譎	谲
讞	谳
譴	谴
譫	谵
讖	谶
穀	谷
豶	豮
貝	贝
貞	贞
負	负
貟	贠
貢	贡
財	财
責	责
賢	贤
敗	败
賬	账
貨	货
質	质
販	贩
貪	贪
貧	贫
貶	贬
購	购
貯	贮
貫	贯
弐	贰
賤	贱
賁	贲
貰	贳
貼	贴
貴	贵
貺	贶
貸	贷
貿	贸
費	费
賀	贺
貽	贻
賊	贼
贄	贽
賈	贾
賄	贿
貲	赀
賃	赁
賂	赂
贓	赃
資	资
賅	赅
贐	赆
賕	赇
賑	赈
賚	赉
賒	赊
賦	赋
賭	赌
齎	赍
贖	赎
賞	赏
賜	赐
贔	赑
賙	赒
賡	赓
賠	赔
賧	赕
賴	赖
賵	赗
贅	赘
賻	赙
賺	赚
賽	赛
賾	赜
贗	赝
贋	赝
賛	赞
讚	赞
贇	赟
贈	赠
贍	赡
贏	赢
贛	赣
赬	赪
趙	赵
趕	赶
趨	趋
趲	趱
躉	趸
躍	跃
蹌	跄
躒	跞
躂	跶
蹺	跷
蹕	跸
躚	跹
躋	跻
躊	踌
蹤	踪
躓	踬
躑	踯
躡	蹑
蹣	蹒
躕	蹰
躥	蹿
躪	躏
躦	躜
軀	躯
轀	輼
車	车
軋	轧
軌	轨
軒	轩
軑	轪
軔	轫
転	转
軛	轭
輪	轮
軟	软
轟	轰
軲	轱
軻	轲
轤	轳
軸	轴
軹	轵
軼	轶
軤	轷
軫	轸
轢	轹
軺	轺
軽	轻
軾	轼
載	载
輊	轾
轎	轿
輈	辀
輇	辁
輅	辂
較	较
輒	辄
輔	辅
輛	辆
輦	辇
輩	辈
輝	辉
輥	辊
輞	辋
輬	辌
輟	辍
輜	辎
輳	辏
輻	辐
輯	辑
轀	辒
輸	输
轡	辔
轅	辕
轄	辖
輾	辗
轆	辘
轍	辙
轔	辚
闢	辟
弁	辩
辮	辫
辺	边
遼	辽
達	达
遷	迁
過	过
邁	迈
運	运
還	还
這	这
進	进
遠	远
違	违
連	连
遅	迟
邇	迩
逕	迳
跡	迹
蹟	迹
適	适
選	选
遜	逊
逓	递
邐	逦
邏	逻
遺	遗
遙	遥
鄧	邓
鄺	邝
鄔	邬
郵	邮
鄒	邹
鄴	邺
鄰	邻
鬱	郁
郟	郏
鄶	郐
鄭	郑
鄆	郓
酈	郦
鄖	郧
鄲	郸
酇	酂
醞	酝
醱	酦
醬	酱
痠	酸
釅	酽
釃	酾
醸	酿
醞	醖
採	采
寀	采
釈	释
裏	里
鑑	鉴
鑒	鉴
鑾	銮
鏨	錾
釒	钅
釓	钆
釔	钇
針	针
鍼	针
釘	钉
釗	钊
釙	钋
釕	钌
釷	钍
釺	钎
釧	钏
釤	钐
鈒	钑
釩	钒
釣	钓
鍆	钔
釹	钕
鍚	钖
釵	钗
鈃	钘
鈣	钙
鈈	钚
鈦	钛
鉅	钜
鈍	钝
鈔	钞
鍾	钟
鐘	钟
鈡	钟
鈉	钠
鋇	钡
鋼	钢
鈑	钣
鈐	钤
鑰	钥
鈅	钥
欽	钦
鈞	钧
鎢	钨
鉤	钩
鈧	钪
鈁	钫
鍅	钫
鈥	钬
鈄	钭
鈕	钮
鈀	钯
鈺	钰
銭	钱
鉦	钲
鉗	钳
鈷	钴
鉢	钵
鈳	钶
鉕	钷
鈽	钸
鈸	钹
鉞	钺
鑽	钻
鉆	钻
鉬	钼
鉭	钽
鉀	钾
鈿	钿
鈾	铀
鉄	铁
鉑	铂
鈴	铃
鑠	铄
鉛	铅
鉚	铆
鉋	铇
鈰	铈
鉉	铉
鉈	铊
鉍	铋
鈮	铌
鈹	铍
鐸	铎
鉶	铏
銬	铐
銠	铑
鉺	铒
鋩	铓
錏	铔
銪	铕
鋮	铖
鋏	铗
鋣	铘
鐃	铙
銍	铚
鐺	铛
銅	铜
鋁	铝
銱	铞
銦	铟
鎧	铠
鍘	铡
銖	铢
銑	铣
鋌	铤
銩	铥
銛	铦
鏵	铧
銓	铨
鎩	铩
鉿	铪
銚	铫
鉻	铬
銘	铭
錚	铮
銫	铯
鉸	铰
銥	铱
鏟	铲
剷	铲
銃	铳
鐋	铴
銨	铵
銀	银
銣	铷
鋳	铸
鐒	铹
鋪	铺
鋙	铻
錸	铼
鋱	铽
鏈	链
鍊	链
鏗	铿
銷	销
鎖	锁
鋰	锂
鋥	锃
鋤	锄
鍋	锅
鋯	锆
鋨	锇
鏽	锈
銼	锉
鋝	锊
鋒	锋
鋅	锌
鋶	锍
鐦	锎
鐗	锏
鐧	锏
銳	锐
銻	锑
鋃	锒
鋟	锓
鋦	锔
錒	锕
錆	锖
鍺	锗
鍩	锘
錯	错
錨	锚
錛	锛
錡	锜
鍀	锝
錁	锞
錕	锟
錩	锠
錫	锡
錮	锢
鑼	锣
錘	锤
錐	锥
錦	锦
鑕	锧
杴	锨
鍁	锨
錈	锩
鍃	锪
錇	锫
鉳	锫
錟	锬
錠	锭
鍵	键
鋸	锯
錳	锰
錙	锱
鍥	锲
鍈	锳
鍇	锴
鏘	锵
鍶	锶
鍔	锷
鍤	锸
鍬	锹
鍾	锺
鍛	锻
鎪	锼
鍠	锽
鍰	锾
鎄	锿
鑀	锿
鍍	镀
鎂	镁
鏤	镂
鎡	镃
鐨	镄
鎇	镅
鋂	镅
鏌	镆
鎮	镇
鎛	镈
鎘	镉
鑷	镊
钂	镋
鎲	镋
鐫	镌
鎳	镍
鎿	镎
